text,counts
RT @Koreandogs: Action Alert! Stop the South Korean dog and cat meat cruelty! ð¿ð¢ð­â #dogmeat #catmeat #animalcruelty #SouthKorea #Korea #íêµ­â¦,4
"RT @iamphoolbaloch1: Meny apna MOBILE number picture me add kia he full picture open KR k deklo 
Jisko mery whatsapp group me add hona he wâ¦",4
"RT @WILDisleNFT: DROPPING in 12 hours .. Next EP #KIA Deep Space Base ..
more Walla antics @KoalaAgencyNFT #IYKYK
@COLDBREW_NFT @daadadanieâ¦",4
"RT @QMGS191418: 2nd Lt Hubert Felton, Worcestershire Regiment. KIA Passchendaele 9 October 1917. Tyne Cot Memorial. Old boy of QMGS. https:â¦",4
"RT @b3rry_y: At around 12:30 pm today,the terrorists group bombed with a jet at the KIO / KIA Brigade 8's 35th Battalion base, according toâ¦",4
"RT @HPotables: On a movie set and still on #chatroomng I can't just put my mind away ... Biko make director and others no slap me ooo.
Oyaâ¦",3
RT @truth_sniper: Help me...im surrounded by complete non driving idiots. Waited on this dude to park his fucking Kia Soul..you know that hâ¦,3
"RT @jayc_nft: @czbonick @KoalaAgencyNFT With all these amazing initiatives, there is no doubt KIA is going to be one of the strongest commuâ¦",3
"RT @ActivistLittle: ð¦ [Video Footage] of #MyanmarMilitaryTerrorists bombed the area of ââKIA Brigade 8 with two fighter jets.

Via: @Khithiâ¦",3
RT @JDH2156: @KryptoDany KIA all day every day LFG #KoalasAreComing https://t.co/xHeYAIlEsv,3
"RT @ItsMeBhumii: Omg What An Interview @ishehnaaz_gill ð­â¥ï¸ Kitni Sweet Or Kitne Atche se handel kia sab. U R Such A Strong Girl Sana. 
#Sheâ¦",3
RT @gill_ahtasham: Absolutely not agreed....ye sawal tb banta jb sb ko equal treat kia jata. STAY STRONG PRATIK,3
RT @OhMarquez: That was for Kia Nurse. What a gutsy performanceâ¦.WOW.,3
"RT @DrunknMunx: Excited for the utility that the @KoalaAgencyNFT KNET App will bring... and Tokens/Rewards... ??

Was that a bit of KIA Alpâ¦",3
"RT @Kia: 8 days. Over 1,400 miles. Endless harsh desert. And no GPS. Meet the builders,  and learn how they got our Kia Sorento PHEVs readyâ¦",3
RT @EnviroPhysio8: Our original koala! We adopted Lion Leo back in December 2020 after the bushfires. Show your support and adopt a koala aâ¦,3
RT @Mustafa04133792: Is week #KaranKundrra ormax ki list mai no 4 hai bcoz unhona pehla game observe kia hai or apna game 3 din pehla startâ¦,3
RT @Lolita_TNIE: 5 kgs of gold worth Rs 2.35 crr seized frm 18 flyers @BLRAirport. They hid them inside as capsules in their bodies. 17 frmâ¦,3
RT @mahgulkh: Agr October k end ya November k start me sports week hojae tou kia hi baat hou ðð»ðð»,3
"RT @lennybendavid: @Spokoiny @gelibolu2015 Actually, the ANZAC light horse conducted a night cavalry charge &amp; tough hand-to-hand combat inâ¦",2
RT @Carpornpicx: Kia Stinger https://t.co/XlOOmyAt3Y,2
"RT @JaNbazAQiB: Congratulations to Ary Team &amp; All :)
Ek chuti c wish hai jab be kisi be team ka match ho us sy pehly ""National Anthem"" Playâ¦",2
RT @GabriellaIcely: miss kia hartðð ended up redrawing her for the winter party poster thingy on insta https://t.co/9VuuoveoWG,2
RT @leecross03: @EastleighFC @WealdstoneFC  car reg AX15 RWJ Kia. Eastleigh any chance we can have our match ball back? Last seen having itâ¦,2
RT @ConquererMehmed: @KoalaAgencyNFT @DrunknMunx @CryptoBaller6 Sounds like KIA &amp; BAYC are best buds https://t.co/sZuewFhpIm,2
"RT @SportsCenter: The Phoenix Mercury have announced that guard Kia Nurse tore her right ACL.

She will miss the rest of the 2021 season. hâ¦",2
"RT @Haruonchill: Junta Terrorists launched AIR ASSAULTS into territory held by KIA Battalion 26 under Brigade 8 in MaiNaung village, #Kachiâ¦",2
"RT @mun_torr_dun_gi: Nothing hurts more than

""Tery baal pehly tou bht achy thy, ab kia hogya?""ð",2
"RT @ozencS: Black Memorial Bracelet #etsy #etsyseller #shopsmall #etsypro #SNRTG @SGH_RTs @blazedrts @SpxcRTS @SympathyRTS 
https://t.co/A6â¦",2
RT @HashirKehtaHai: Btw mere mobile mein sirf 5% charging reh gyi hai and i don't know mein ye khtm honay k baad kia krunga.ððð»,2
"RT @DocPNW: Ata mÄrie â¤ï¸ð³ð¿
Wonderful Twitter meet-up last evening with @drjudymelinek and @TJMitchellWS who hopefully had a chance to enjoyâ¦",2
"RT @MSGNetworks: ""Being able to strive and work hard for what you want builds character."" 

Larry UmaÃ±a &amp; Nathan Lopez are inspiring the neâ¦",2
RT @JamieGi46274340: @LevyStevi @BoxerHopewell @DSR_F11 @Gaz_Kia_Davies @Bec_Connolly11 @WomensFightNew1 please share my mate page he's a lâ¦,2
"RT @DrJinRussell: Kia Ora everyone. This is a thread for people overseas, to put context around what is happening in Aotearoa New Zealand wâ¦",2
"RT @Ash83769: @GAUAHAR_KHAN @GAUAHAR_KHAN plz watch all episodes then u see kitna bullying Kia h uske sath 

STAY STRONG PRATIK",2
RT @TonyLnyg: @EbanieBridges V Jamie Mitchell would be a barnburner ð¥ð¥ @theRealEnzoMac @Gaz_Kia_Davies @BoxerHopewell,2
"RT @virensgnr: @ColorsTV @BeingSalmanKhan Didn't agree 
Jugle wasi were worst. 
Kuch nhi kia. Faltu bkwas k alawa.
Jyada famous log ho to kâ¦",2
"RT @KaranMyBoo: @ayshahabib11 Yupp, when salman said ki set ke paise mujhe dedo, right after that he said ki ""jab aap dimag lagate ho to huâ¦",2
"RT @977ESPN: Tune in to the @AlabamaFTBL Gameday Tailgate Show!!
w/@iamstevemoulton + @DrewD977ESPN 
Presented by: The Open Bottle : Madisoâ¦",2
RT @_vonnn8: as a man why are you driving a kia soul,2
RT @Krebes47: nah heâs chill he drives a Kia Telluride,2
RT @Jwlpt45: @bunnybudsNFT working side by side with my KIA agents to help save the world. Snatch up a fluffy bunny with public mint on Monâ¦,2
"RT @jeffthedunker: Green Jeff Capital LLC is proud to announce that the firm has reached its target acquisition of 69 2007 Kia Sedonas

Godâ¦",2
"RT @justinsampson: #HugLife You are awesome!  Thank you, Agent!  Love my Onesie @KoalaAgencyNFT family!

#squidmykoala #KoalasAreComing #Koâ¦",2
"RT @justinsampson: @NFTKacper @KoalaAgencyNFT @playsquidnft #HugLife You are awesome!  Thank you, Agent!  Love my Onesie @KoalaAgencyNFT faâ¦",2
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/rh97A86PP6",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/sEPRY1oErl",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/rmHuotSWZT",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/sKjz7J0Ryl",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XrEsedogfy",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/ZqyjJeY5dD",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/YcNf1IDNuA",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/ZqUock5sNs",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Z0cO3YDMoU",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Y4TQ9DgBU2",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XUj7EBZFWz
@UNGeneva",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Yyt7HFdlBu",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/rxNVHsTX0Z",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Y7VNXsWKRN",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/s4OZJbcy1A",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/YDBrSkrnDC",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/rtMCNTlh3w",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/nyJl4sS6WV",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XUj7EBZFWz
@ICRC",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/uHaEd9khEW",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/vwJGet5TCW",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/SPXm8iAM43",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/SeDe5rQNMW",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/T4lST4KZxj",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/uwroBX37hY",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/THqXIKAgNk",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/TU1Spc5ye4",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/uoau9XmwpD",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/TauSgunjHP",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/U35icfVaaE",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/uYShoDpRHz",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/U7ypCEymU0",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/U8ClKm5QeD",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/uWWF1TGnbU",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/tpUuKQuans",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/sdyZDvVUjl",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/UDhrBIqQxf",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/UyzAn8sEX1",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/tfKYS1bDup",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Vk24N917ZP",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Wm6Dt7I7Yw",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/X43Vud1isC",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/X99grmvGCK",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/tRRsShrUkx",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/tAXvXYKY58",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XDlkkBe7Hw",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/szY2DjpwHF",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XEXnF8ePkL",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/XRbYtvjnjN",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/sf0OiLDrM1",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/Zr7gWhIf6h",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/bgUzYYYCY7",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/rOceIh3r0F",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/iejxpNGjsm",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/obeKbzKz5I",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/j5u5e1wQW5",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/j2OvRrYuGF",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/iuQ5HHjfoR",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/isFOyGWwRK",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/in2yzjbUfI",1
"Military Terrorists Launching airstrikes with 3 bombs in KIA's 8th Battalion-26 area near Maingnaung village, Indawgyi.Villagers had to hide and number of casualties &amp; injuries is still unknown. #WeSupportNUG  #WhatsHappeningInMyanmar  #Oct9Coup  https://t.co/hqV23gcY4N",1
